"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"747",111952.499297654,273397.650089352,251463.215705179,21.1024910073726,22.9888124552172,21.7827319753535
"748",106553.295536947,263135.754289832,236664.428819685,21.7144553950749,23.2926150138959,22.4975273165068
"749",116646.910964925,313505.961183439,286774.257558492,20.6564418628167,22.4956268099113,21.5141108104421
"750",90520.7230758239,182634.955759628,157118.789369943,24.7002886801705,25.665614739421,25.1754475296137
"751",118373.740187201,303903.044788097,288241.812814037,20.3829617028148,22.2005258599971,21.0376288501017
"752",105333.70383995,262168.261682128,241686.113788714,20.8775000268898,22.8527785209118,21.5350797638783
"753",111744.095182313,283523.980652603,237332.128877961,21.6935050959981,23.496684748569,22.4692357948593
"754",100628.235199107,249827.764426824,227099.42825933,22.108374223155,23.4913470105164,22.9444862915463
"755",109096.553298265,275659.631245443,247895.907389835,21.2280539344833,23.0333529467837,22.1524319754513
"756",110177.65401397,297421.075945349,254831.546660709,21.1591337846278,22.4423432545116,22.3525032083448
"757",125476.053807275,326370.560075385,295714.598828438,20.236670900771,22.2435443001307,20.7988086319426
"758",119980.933732545,276662.076651948,254353.781668637,20.9784258538572,22.6672766136752,22.0220853333786
"759",106779.539988806,270059.056648965,241916.437464593,21.6089020711545,23.1718547370379,22.5066581779164
"760",114085.683712497,280467.437775546,258377.072712283,21.6412218930844,23.2691550779966,22.3384930108012
"761",109018.064067433,272140.225209129,257139.556653455,21.4297880691233,22.9705341148678,22.1973585845382
"762",118645.244072337,295206.430543961,275587.739823522,20.5221827240522,22.4888089159768,21.1511849615621
"763",101729.07043766,256323.018207719,237948.918212591,22.1744603210224,23.633682197618,22.8423965979817
"764",121199.552587005,299829.296277992,264245.102449132,20.5994126151461,22.3057149726126,21.7335585093239
"765",120582.147827243,314544.661091048,274353.978156657,20.5389178718861,22.2126292416046,21.4297645917324
"766",126451.549167292,328698.115225849,304422.230274248,19.5253642264436,21.4247268201328,20.2813784479488
"767",122483.112114987,324349.222204314,278864.09984089,20.2938789315786,22.1442456084704,21.2779000163063
"768",105987.626544745,249932.274113013,229218.306005057,21.8420055833984,23.2479362275743,22.5381265149394
"769",116874.831081109,293274.141192385,247168.70124254,21.2693687828647,22.8957211677575,22.2729846749892
"770",108562.177330989,267440.922277329,246948.362752117,21.4139902498713,22.9615268151777,22.1718994152127
"771",129506.857671058,326369.105244208,311500.807644685,19.7348840343146,21.7574659190193,20.5673559969425
"772",117378.124062001,298980.498467083,276212.036247411,20.7228612849192,22.4524958884561,21.6193614003698
"773",115801.369850889,283679.993945303,269112.275897743,21.1196897766126,22.9755177218104,21.7420064242905
"774",124165.679471625,291860.399384093,264855.277952752,21.1070021031795,22.9655198186527,22.0352038741023
"775",97999.9182420748,254173.728505214,224839.50917834,21.9377002474688,23.3622095523386,22.7878546178685
"776",108160.438196934,243069.538074887,224693.25859336,22.4352753325563,24.1062957455593,23.0193716714098
"777",115890.6371052,280309.059237566,248326.378860171,20.9691757997699,22.6384478445215,21.9500734204243
"778",112948.786123098,263127.367969123,246037.596384712,21.6730661907015,23.1569363419409,22.4889669775618
"779",118869.682665242,304914.299844416,265514.311945248,20.3251828304455,21.99508775987,21.4832606596494
"780",110730.898653507,264943.578305326,244702.593920763,21.6687714131017,23.3091070438407,22.441229589182
"781",121829.560892942,350375.008349317,321495.772314197,19.3587667709436,21.3738431169398,19.9916779305118
"782",106366.786916282,264033.590182683,242264.526798052,21.7089134065853,23.4378863148656,22.3784195076528
"783",110160.637788464,282244.497566764,266791.280491368,20.6308870509317,22.3247619994972,21.2724461097508
"784",105941.245135757,271271.623095988,262497.041752343,21.3738944406771,23.1966077933031,21.8910041440417
"785",115547.078530153,292634.462789766,279971.231183522,20.5548700542994,22.4872268189721,21.0981536932022
"786",132913.272220095,324412.905633171,303617.137941697,20.2508292885081,22.4235272953976,20.726653490904
"787",117583.654556415,300619.288230845,273757.369658945,20.4507125349232,22.4989576789924,21.2442821727743
"788",116978.630404006,296733.07393479,271878.725149664,21.2739876530562,22.9418838212553,21.8957304158371
"789",115610.724080986,297472.550083138,273509.815763107,20.471014812463,22.3094005463954,21.3132559640713
"790",122317.66316964,294871.249396846,272119.216167317,21.0353695059124,22.7652591204371,21.9065874698354
"791",115651.572337781,263891.201660432,231940.710230301,22.1164252552861,23.7119393916897,22.8712138934615
"792",107456.597764655,273694.332692693,248995.753368303,21.6484667098024,23.1300810429148,22.1917524617634
"793",114448.532528011,264570.105337316,246151.676950449,21.8987910126341,23.5271299170678,22.5941537105888
"794",122178.582539149,302330.883330575,261692.781603728,20.6131000553873,22.6025576928332,21.2381984770662
"795",102588.571893855,253015.982502765,224819.748849788,21.6758459302906,23.0718871057271,22.7678758644174
"796",119525.031575637,301907.880849903,266117.99915693,20.8558660849566,22.6560560587623,21.6254409537086
"797",94434.122229331,231939.985506815,214965.316231794,22.241967732433,23.778506179293,22.9356262673367
"798",107494.027541016,280456.11508135,248161.085914899,21.3700857576154,22.8158633313691,22.2486908110754
"799",109690.600192056,258240.19590701,225882.889482925,22.3270374870059,23.7841741113617,23.0732059579461
"800",118561.88246146,286694.066664736,264613.452129713,21.2877776223156,23.017300315526,21.9161194305566
"801",119031.948731251,302678.889274473,278730.299259985,21.534887408057,23.337888025626,22.1287299255978
"802",100904.801110523,237113.022456302,212862.784645976,21.8447603162594,23.3481112326108,22.7368502022713
"803",118283.011201833,293219.240742596,259534.90566472,20.7371663740234,22.6093142798515,21.6584808116504
"804",108363.512874472,264833.858685112,235893.161594633,22.1501392735552,23.6116670386194,22.9894110469315
"805",114692.53543975,318568.47224143,284329.248023145,19.7325789303925,21.515887264856,20.9252694619325
"806",108682.735878241,265653.371576756,233458.510040441,21.4896506592034,23.1113752664615,22.3746899765538
"807",128738.102529,310131.100397027,298801.487402247,20.7313722213346,22.6443445161133,21.3269961207458
"808",110244.19776782,272720.395120036,246471.604644672,21.4157189886277,22.9119088620057,22.3097892574843
"809",108743.364246351,275991.285627461,236967.170689355,21.6327399587819,23.2645280125518,22.4707243629307
"810",106950.73436558,274105.639397782,246592.681424247,21.1912809837567,23.0027484800831,21.8520456432396
"811",113401.892619216,294497.832419681,263070.925166131,20.8439176759812,22.4773559432971,21.4284638280543
"812",97429.7990898243,246033.323913664,205657.147846793,21.998973647349,23.6320379041349,22.7903653898776
"813",125023.040979946,316962.075485508,299528.706765122,20.1495501682092,21.9014501482282,20.8762871807183
"814",95898.1572861074,233516.146445881,206785.960028578,23.1284821280615,24.3437616906075,24.0087453056116
"815",109131.975604773,258705.666996185,239975.064013711,21.5774833618491,23.3131629971254,22.1963686448402
"816",115232.675763721,305685.710036961,282750.000707076,20.8856329760891,22.6963617667619,21.5841463307324
